time	raw	delta	theta	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	middleGamma	heartrate
1216	28									
1218	28									
1239	28									
1243	28									
1245	28									
1251	28									
1253	28									
1258	28									
1260	27									
1261	28									
1263	28									
1264	28									
1267	28									
1268	28									
1272	28									
1274	28									
1275	28									
1277	28									
1278	28									
1280	28									
1282	28									
1283	28									
1287	28									
1290	28									
1291	28									
1293	28									
1295	28									
1296	28									
1297	28									
1298	28									
1299	28									
1300	27									
1301	28									
1302	28									
1303	28									
1304	28									
1305	28									
1306	28									
1309	28									
1310	28									
1312	28									
1313	28									
1314	28									
1314	28									
1315	28									
1315	28									
1316	28									
1316	28									
1319	28									
1319	28									
1320	28									
1320	28									
1320	28									
1320	28									
1320	28									
1321	28									
1321	28									
1321	28									
1321	28									
1321	28									
1322	28									
1332	28									
1332	28									
1332	28									
1333	28									
1333	29									
1333	28									
1333	28									
1333	28									
1349	28									
1349	28									
1350	29									
1350	29									
1350	28									
1350	28									
1350	28									
1351	28									
1351	28									
1351	28									
1365	28									
1365	28									
1365	28									
1366	28									
1366	28									
1366	28									
1366	28									
1383	28									
1383	28									
1384	28									
1384	29									
1384	28									
1384	28									
1384	28									
1385	28									
1385	28									
1385	28									
1398	28									
1398	28									
1398	28									
1398	28									
1399	28									
1399	28									
1399	28									
1416	28									
1417	28									
1417	28									
1418	28									
1419	28									
1421	28									
1422	28									
1423	28									
1424	28									
1434	28									
1435	28									
1435	28									
1436	28									
1437	28									
1438	28									
1439	28									
1440	28									
1441	28									
1451	28									
1452	28									
1453	28									
1454	28									
1467	28									
1468	29									
1469	28									
1471	28									
1472	28									
1473	28									
1474	28									
1474	28									
1475	28									
1475	28									
1477	28									
1478	28									
1479	28									
1483	28									
1484	28									
1485	28									
1486	28									
1487	28									
1487	29									
1488	29									
1489	29									
1498	29									
1498	29									
1498	32									
1498	32									
1498	33									
1499	34									
1499	35									
1499	36									
1514	39									
1514	44									
1514	51									
1515	56									
1515	65									
1515	73									
1515	86									
1515	100									
1515	112									
1531	129									
1531	156									
1531	182									
1531	187									
1532	195									
1532	211									
1532	237									
1532	264									
1549	282									
1549	299									
1549	323									
1549	354									
1550	389									
1550	422									
1550	449									
1550	472									
1550	508									
1566	561									
1567	615									
1568	660									
1569	704									
1571	763									
1571	823									
1572	864									
1573	917									
1574	997									
1583	1068									
1584	1100									
1584	1115									
1587	1162									
1588	1203									
1590	1224									
1591	1244									
1592	1281									
1593	1331									
1601	1371									
1603	1393									
1604	1409									
1605	1447									
1606	1478									
1607	1508									
1608	1543									
1609	1580									
1610	1613									
1616	1634									
1618	1649									
1619	1666									
1620	1683									
1621	1697									
1622	1729									
1623	1761									
1623	1752									
1632	1735									
1633	1753									
1634	1785									
1635	1810									
1635	1826									
1636	1842									
1637	1861									
1649	1877									
1650	1895									
1651	1910									
1652	1925									
1652	1929									
1653	1929									
1654	1941									
1654	1956									
1655	1958									
1656	1954									
1666	1956									
1666	1968									
1667	1963									
1668	1945									
1669	1924									
1669	1899									
1670	1873									
1671	1837									
1681	1797									
1681	1764									
1681	1740									
1681	1708									
1686	1674									
1686	1649									
1686	1618									
1686	1584									
1697	1548									
1697	1514									
1698	1477									
1698	1437									
1698	1400									
1698	1366									
1698	1334									
1698	1299									
1698	1261									
1713	1224									
1713	1187									
1714	1152									
1714	1115									
1714	1081									
1714	1047									
1714	1014									
1714	981									
1730	949									
1730	917									
1730	888									
1731	858									
1731	828									
1731	801									
1731	773									
1731	746									
1748	722									
1749	696									
1750	673									
1751	648									
1751	627									
1752	603									
1752	583									
1753	563									
1754	545									
1765	524									
1766	506									
1767	489									
1767	472									
1768	456									
1769	440									
1770	425									
1771	410									
1772	396									
1782	385									
1783	371									
1783	358									
1784	346									
1785	333									
1785	324									
1786	312									
1787	301									
1799	292									
1799	281									
1800	274									
1801	264									
1802	256									
1802	247									
1803	241									
1804	231									
1804	225									
1815	216									
1816	210									
1817	202									
1817	197									
1818	189									
1819	184									
1819	179									
1820	172									
1821	168									
1833	163									
1834	156									
1835	152									
1836	149									
1837	145									
1838	139									
1838	135									
1839	132									
1850	129									
1851	124									
1852	121									
1853	117									
1854	115									
1854	112									
1856	107									
1857	105									
1858	102									
1865	100									
1866	97									
1866	93									
1867	91									
1868	89									
1869	87									
1870	85									
1871	83									
1884	81									
1884	77									
1885	76									
1886	74									
1887	73									
1887	72									
1888	70									
1889	69									
1890	68									
1899	67									
1899	66									
1900	65									
1901	61									
1902	60									
1903	59									
1903	57									
1904	57									
1914	56									
1915	55									
1916	54									
1917	53									
1917	53									
1918	52									
1919	51									
1919	50									
1920	50									
1932	49									
1932	48									
1933	48									
1934	45									
1935	44									
1936	44									
1937	43									
1938	42									
1952	42									
1954	42									
1955	41									
1956	41									
1957	41									
1958	40									
1959	40									
1960	40									
1961	39									
1961	39									
1966	38									
1967	38									
1967	37									
1968	38									
1968	37									
1969	37									
1970	36									
1980	36									
1980	36									
1980	36									
1980	36									
1980	35									
1980	35									
1980	35									
1980	35									
1995	34									
1996	34									
1996	34									
1996	34									
1996	34									
1996	33									
1996	34									
1996	33									
1996	33									
2012	33									
2012	33									
2012	33									
2012	33									
2012	33									
2013	32									
2013	32									
2013	32									
2029	32									
2029	32									
2030	32									
2030	32									
2030	32									
2030	32									
2030	32									
2030	32									
2030	32									
2047	29									
2047	29									
2048	29									
2048	29									
2049	28									
2050	29									
2050	29									
2051	28									
2064	28									
2064	28									
2065	28									
2066	28									
2066	28									
2067	28									
2067	28									
2068	28									
2069	28									
2082	28									
2082	28									
2083	28									
2084	28									
2085	28									
2086	28									
2086	28									
2087	28									
2088	28									
2098	28									
2098	28									
2099	28									
2100	28									
2100	28									
2101	28									
2102	28									
2103	27									
2114	28									
2115	28									
2116	28									
2117	28									
2117	28									
2118	28									
2119	28									
2120	28									
2131	28									
2132	28									
2133	27									
2133	27									
2134	27									
2135	27									
2135	27									
2137	28									
2138	28									
2139	27									
2147	27									
2148	28									
2148	27									
2149	27									
2150	27									
2150	28									
2151	28									
2152	28									
2163	27									
2164	28									
2165	27									
2165	28									
2166	27									
2167	27									
2167	27									
2168	28									
2181	27									
2181	27									
2182	27									
2182	28									
2183	27									
2183	27									
2184	27									
2184	28									
2185	28									
2196	27									
2197	27									
2197	27									
2198	28									
2198	28									
2199	27									
2200	27									
2200	27									
2213	null	293650	657	189	761	493	155	18	2	
2214	27	null	null	null	null	null	null	null	null	
2214	27	null	null	null	null	null	null	null	null	
2215	27	null	null	null	null	null	null	null	null	
2216	27	null	null	null	null	null	null	null	null	
2217	27	null	null	null	null	null	null	null	null	
2217	27	null	null	null	null	null	null	null	null	
2230	27	null	null	null	null	null	null	null	null	
2231	27	null	null	null	null	null	null	null	null	
2232	27	null	null	null	null	null	null	null	null	
2233	27	null	null	null	null	null	null	null	null	
2234	27	null	null	null	null	null	null	null	null	
2234	26	null	null	null	null	null	null	null	null	
2235	27	null	null	null	null	null	null	null	null	
2235	27	null	null	null	null	null	null	null	null	
2236	27	null	null	null	null	null	null	null	null	
2237	28	null	null	null	null	null	null	null	null	
2238	27	null	null	null	null	null	null	null	null	
2238	27	null	null	null	null	null	null	null	null	
2246	28	null	null	null	null	null	null	null	null	
2263	27	null	null	null	null	null	null	null	null	
2264	27	null	null	null	null	null	null	null	null	
2264	27	null	null	null	null	null	null	null	null	
2283	27	null	null	null	null	null	null	null	null	
2283	27	null	null	null	null	null	null	null	null	
2284	27	null	null	null	null	null	null	null	null	
2284	27	null	null	null	null	null	null	null	null	
2285	27	null	null	null	null	null	null	null	null	
2286	27	null	null	null	null	null	null	null	null	
2289	27	null	null	null	null	null	null	null	null	
2291	27	null	null	null	null	null	null	null	null	
2292	27	null	null	null	null	null	null	null	null	
2293	27	null	null	null	null	null	null	null	null	
2295	27	null	null	null	null	null	null	null	null	
2296	27	null	null	null	null	null	null	null	null	
2297	27	null	null	null	null	null	null	null	null	
2298	27	null	null	null	null	null	null	null	null	
2299	27	null	null	null	null	null	null	null	null	
2300	27	null	null	null	null	null	null	null	null	
2301	27	null	null	null	null	null	null	null	null	
2302	27	null	null	null	null	null	null	null	null	
2303	27	null	null	null	null	null	null	null	null	
2304	27	null	null	null	null	null	null	null	null	
2305	27	null	null	null	null	null	null	null	null	
2306	27	null	null	null	null	null	null	null	null	
2313	27	null	null	null	null	null	null	null	null	
2314	27	null	null	null	null	null	null	null	null	
2315	27	null	null	null	null	null	null	null	null	
2315	27	null	null	null	null	null	null	null	null	
2319	27	null	null	null	null	null	null	null	null	
2320	27	null	null	null	null	null	null	null	null	
2320	27	null	null	null	null	null	null	null	null	
2320	27	null	null	null	null	null	null	null	null	
2320	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2321	27	null	null	null	null	null	null	null	null	
2330	27	null	null	null	null	null	null	null	null	
2330	27	null	null	null	null	null	null	null	null	
2330	27	null	null	null	null	null	null	null	null	
2330	28	null	null	null	null	null	null	null	null	
2331	27	null	null	null	null	null	null	null	null	
2331	27	null	null	null	null	null	null	null	null	
2343	27	null	null	null	null	null	null	null	null	
2344	27	null	null	null	null	null	null	null	null	
2344	28	null	null	null	null	null	null	null	null	
2344	27	null	null	null	null	null	null	null	null	
2344	27	null	null	null	null	null	null	null	null	
2344	27	null	null	null	null	null	null	null	null	
2344	28	null	null	null	null	null	null	null	null	
2344	28	null	null	null	null	null	null	null	null	
2344	28	null	null	null	null	null	null	null	null	
2361	27	null	null	null	null	null	null	null	null	
2361	27	null	null	null	null	null	null	null	null	
2361	28	null	null	null	null	null	null	null	null	
