time	raw	delta	theta	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	middleGamma	heartrate
1196	41	null	null	null	null	null	null	null	null	null
1202	40	null	null	null	null	null	null	null	null	null
1203	40	null	null	null	null	null	null	null	null	null
1207	39	null	null	null	null	null	null	null	null	null
1208	39	null	null	null	null	null	null	null	null	null
1209	39	null	null	null	null	null	null	null	null	null
1210	39	null	null	null	null	null	null	null	null	null
1211	38	null	null	null	null	null	null	null	null	null
1212	38	null	null	null	null	null	null	null	null	null
1213	37	null	null	null	null	null	null	null	null	null
1233	37	null	null	null	null	null	null	null	null	null
1234	37	null	null	null	null	null	null	null	null	null
1236	36	null	null	null	null	null	null	null	null	null
1237	36	null	null	null	null	null	null	null	null	null
1237	36	null	null	null	null	null	null	null	null	null
1238	36	null	null	null	null	null	null	null	null	null
1239	35	null	null	null	null	null	null	null	null	null
1239	35	null	null	null	null	null	null	null	null	null
1240	35	null	null	null	null	null	null	null	null	null
1241	34	null	null	null	null	null	null	null	null	null
1241	34	null	null	null	null	null	null	null	null	null
1242	34	null	null	null	null	null	null	null	null	null
1242	34	null	null	null	null	null	null	null	null	null
1243	34	null	null	null	null	null	null	null	null	null
1244	33	null	null	null	null	null	null	null	null	null
1244	34	null	null	null	null	null	null	null	null	null
1246	33	null	null	null	null	null	null	null	null	null
1246	33	null	null	null	null	null	null	null	null	null
1251	33	null	null	null	null	null	null	null	null	null
1252	33	null	null	null	null	null	null	null	null	null
1252	33	null	null	null	null	null	null	null	null	null
1253	33	null	null	null	null	null	null	null	null	null
1254	33	null	null	null	null	null	null	null	null	null
1254	32	null	null	null	null	null	null	null	null	null
1255	33	null	null	null	null	null	null	null	null	null
1256	32	null	null	null	null	null	null	null	null	null
1257	32	null	null	null	null	null	null	null	null	null
1268	32	null	null	null	null	null	null	null	null	null
1269	32	null	null	null	null	null	null	null	null	null
1270	32	null	null	null	null	null	null	null	null	null
1270	29	null	null	null	null	null	null	null	null	null
1271	29	null	null	null	null	null	null	null	null	null
1271	32	null	null	null	null	null	null	null	null	null
1272	29	null	null	null	null	null	null	null	null	null
1272	28	null	null	null	null	null	null	null	null	null
1284	29	null	null	null	null	null	null	null	null	null
1285	29	null	null	null	null	null	null	null	null	null
1286	28	null	null	null	null	null	null	null	null	null
1286	28	null	null	null	null	null	null	null	null	null
1287	29	null	null	null	null	null	null	null	null	null
1288	29	null	null	null	null	null	null	null	null	null
1288	29	null	null	null	null	null	null	null	null	null
1289	28	null	null	null	null	null	null	null	null	null
1289	29	null	null	null	null	null	null	null	null	null
1302	28	null	null	null	null	null	null	null	null	null
1302	28	null	null	null	null	null	null	null	null	null
1303	28	null	null	null	null	null	null	null	null	null
1304	28	null	null	null	null	null	null	null	null	null
1304	28	null	null	null	null	null	null	null	null	null
1305	28	null	null	null	null	null	null	null	null	null
1306	28	null	null	null	null	null	null	null	null	null
1306	28	null	null	null	null	null	null	null	null	null
